data_state,county,poverty_estimate,poverty_percentage
IN,Vigo,"18,824",19.2
IN,Wabash,"3,631",12.4
IN,Warren,796,9.8
IN,Warrick,"4,373",7.1
IN,Washington,"3,703",13.4
IN,Wayne,"10,094",16.0
IN,Wells,"2,344",8.5
IN,White,"2,025",8.5
IN,Whitley,"2,377",7.1
IA,Adair,667,9.7
IA,Adams,460,12.7
IA,Allamakee,"1,581",11.7
IA,Appanoose,"1,864",15.2
IA,Audubon,589,11.0
IA,Benton,"2,000",7.9
IA,Black Hawk,"20,811",16.3
IA,Boone,"2,274",8.8
IA,Bremer,"1,547",6.6
IA,Buchanan,"2,224",10.6
IA,Buena Vista,"1,932",10.2
IA,Butler,"1,290",9.0
IA,Calhoun,"1,023",11.3
IA,Carroll,"1,576",8.0
IA,Cass,"1,594",12.6
IA,Cedar,"1,391",7.6
IA,Cerro Gordo,"4,316",10.4
IA,Cherokee,"1,032",9.4
IA,Chickasaw,"1,019",8.6
IA,Clarke,"1,036",11.2
IA,Clay,"1,531",9.7
IA,Clayton,"1,627",9.4
IA,Clinton,"5,727",12.5
IA,Crawford,"2,072",12.3
IA,Dallas,"4,687",5.2
IA,Davis,"1,130",12.7
IA,Decatur,"1,458",20.3
IA,Delaware,"1,521",9.0
